"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.595989557E1,6.500914030E1,2.548495780E1,1.913574313E1,NaN,NaN,1.273099995E1,1.000000000E0
3.867489557E1,6.500913010E1,2.548491430E1,1.913574393E1,NaN,NaN,1.318000031E1,1.284333229E0
4.089914912E1,6.500912092E1,2.548539142E1,-4.464218843E0,5.299999714E-1,0.000000000E0,1.450000000E1,1.000000000E2
4.135598005E1,6.500901430E1,2.548504072E1,-3.346420351E1,1.519999981E0,3.152999878E2,1.450000000E1,1.000000000E2
4.286895632E1,6.500906153E1,2.548496939E1,-4.046422566E1,1.870000005E0,2.585000000E2,2.300000000E1,1.000000000E2
4.386991339E1,6.500905466E1,2.548492732E1,-4.046422599E1,2.250000000E0,2.488000031E2,2.150000000E1,1.000000000E2
4.488385004E1,6.500904351E1,2.548483981E1,-3.946422782E1,2.750000000E0,2.505000000E2,2.350000000E1,1.000000000E2
4.588805889E1,6.500903316E1,2.548475733E1,-3.746422961E1,2.539999962E0,2.478999939E2,2.350000000E1,1.000000000E2
4.689844766E1,6.500902251E1,2.548469145E1,-4.146423016E1,2.559999943E0,2.421999969E2,2.150000000E1,1.000000000E2
4.789808924E1,6.500901518E1,2.548463169E1,-4.546423152E1,2.200000048E0,2.403000031E2,2.100000000E1,1.000000000E2
4.885952581E1,6.500901866E1,2.548457528E1,-4.546423661E1,1.909999967E0,2.441999969E2,2.050000000E1,1.000000000E2
4.986081762E1,6.500901484E1,2.548449841E1,-4.646424041E1,2.240000010E0,2.508999939E2,2.300000000E1,1.000000000E2
5.088170716E1,6.500900558E1,2.548445692E1,-5.146423982E1,1.429999948E0,2.556000061E2,2.300000000E1,1.000000000E2
5.185986816E1,6.500898194E1,2.548442381E1,-5.746423338E1,1.379999995E0,2.516999969E2,2.250000000E1,1.000000000E2
5.289836385E1,6.500896271E1,2.548439817E1,-6.146422805E1,1.009999990E0,2.551000061E2,2.150000000E1,1.000000000E2
5.388121142E1,6.500895399E1,2.548435005E1,-6.746422810E1,1.289999962E0,2.595000000E2,2.150000000E1,1.000000000E2
5.488811508E1,6.500896082E1,2.548430211E1,-6.646423385E1,1.599999905E0,2.592999878E2,2.100000000E1,1.000000000E2
5.589934200E1,6.500898345E1,2.548427755E1,-5.946424383E1,1.449999928E0,2.646000061E2,2.000000000E1,1.000000000E2
5.687941846E1,6.500899892E1,2.548425425E1,-5.546425109E1,1.329999924E0,2.773999939E2,2.200000000E1,1.000000000E2
5.787417761E1,6.500901581E1,2.548426179E1,-5.046425678E1,8.799999952E-1,2.877000122E2,2.150000000E1,1.000000000E2
5.888799327E1,6.500902691E1,2.548427252E1,-4.546426014E1,6.399999857E-1,2.988999939E2,2.050000000E1,1.000000000E2
5.988260019E1,6.500904259E1,2.548428677E1,-3.846426493E1,9.099999666E-1,3.172000122E2,1.950000000E1,1.000000000E2
6.091276184E1,6.500905709E1,2.548427017E1,-3.146427138E1,1.009999990E0,3.287999878E2,2.200000000E1,1.000000000E2
6.189430788E1,6.500906141E1,2.548424805E1,-2.946427446E1,1.139999986E0,3.353999939E2,2.300000000E1,1.000000000E2
6.289883249E1,6.500905952E1,2.548421930E1,-2.946427572E1,7.799999714E-1,3.385000000E2,2.550000000E1,1.000000000E2
6.389165257E1,6.500905659E1,2.548420697E1,-3.046427548E1,6.399999857E-1,3.396000061E2,2.300000000E1,1.000000000E2
6.487517730E1,6.500906053E1,2.548420086E1,-2.846427734E1,5.899999738E-1,3.391000061E2,2.450000000E1,1.000000000E2
6.587081288E1,6.500905445E1,2.548422726E1,-2.746427332E1,8.999999613E-2,3.336000061E2,2.650000000E1,1.000000000E2
6.686387714E1,6.500905877E1,2.548426481E1,-2.746427236E1,5.899999738E-1,3.413999939E2,2.750000000E1,1.000000000E2
6.788260464E1,6.500906794E1,2.548427747E1,-2.446427487E1,6.699999571E-1,3.472999878E2,2.850000000E1,1.000000000E2
6.885779957E1,6.500906899E1,2.548433882E1,-2.446427110E1,1.039999962E0,9.500000000E0,2.800000000E1,1.000000000E2
6.987920799E1,6.500906199E1,2.548434285E1,-2.646426826E1,7.299999595E-1,2.010000038E1,3.050000000E1,1.000000000E2
7.088036433E1,6.500903886E1,2.548430446E1,-3.346426236E1,9.999999404E-2,1.620000076E1,2.850000000E1,1.000000000E2
7.190154064E1,6.500903471E1,2.548428677E1,-3.446426203E1,5.699999928E-1,2.099999905E0,2.900000000E1,1.000000000E2
7.289115937E1,6.500903739E1,2.548429079E1,-3.446426275E1,2.199999988E-1,4.099999905E0,2.850000000E1,1.000000000E2
7.387763776E1,6.500904263E1,2.548427696E1,-3.446426561E1,2.099999934E-1,6.199999809E0,3.200000000E1,1.000000000E2
7.489430068E1,6.500904351E1,2.548423279E1,-3.346426892E1,7.400000095E-1,3.288999939E2,2.850000000E1,1.000000000E2
7.688978383E1,6.500904183E1,2.548433932E1,-3.446426109E1,6.499999762E-1,3.566000061E2,3.050000000E1,1.000000000E2
7.789040564E1,6.500903911E1,2.548443672E1,-3.446425350E1,1.120000005E0,4.150000000E1,3.100000000E1,1.000000000E2
8.188769025E1,6.500898174E1,2.548463588E1,-3.446421895E1,1.719999909E0,1.333999939E2,3.650000000E1,1.000000000E2
8.290356971E1,6.500899707E1,2.548461635E1,-3.446422591E1,4.899999797E-1,1.463999939E2,3.200000000E1,1.000000000E2
8.386302748E1,6.500899640E1,2.548463940E1,-3.246422410E1,2.800000012E-1,1.593999939E2,3.200000000E1,1.000000000E2
8.645371043E1,6.500913070E1,2.548501030E1,1.573575250E1,NaN,NaN,3.440000153E1,2.878788948E0
8.690537917E1,6.500905742E1,2.548472472E1,1.253575928E1,1.099999994E-1,0.000000000E0,8.500000000E0,1.000000000E2
8.787229248E1,6.500891569E1,2.548483746E1,2.453581892E1,2.399999946E-1,0.000000000E0,1.450000000E1,1.000000000E2
8.888672659E1,6.500901266E1,2.548474434E1,1.353577703E1,3.999999911E-2,0.000000000E0,1.450000000E1,1.000000000E2
9.092719394E1,6.500912310E1,2.548466370E1,8.535731039E0,1.099999994E-1,0.000000000E0,1.500000000E1,1.000000000E2
9.190910463E1,6.500906174E1,2.548462900E1,1.253575121E1,5.999999866E-2,0.000000000E0,9.000000000E0,1.000000000E2
9.222408705E1,6.500904322E1,2.548463336E1,1.253575831E1,1.700000018E-1,0.000000000E0,9.000000000E0,1.000000000E2
9.390564032E1,6.500909929E1,2.548466345E1,8.535739760E0,7.000000030E-2,2.429999924E1,4.500000000E0,1.000000000E2
9.490180059E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
